studio_name,genre,n_games
Beam Team Games,Adventure,1
Beam Team Games,Indie,1
Big Ant Studios,Sports,22
Big Ant Studios,Simulation,9
Big Ant Studios,Indie,4
Big Ant Studios,Casual,2
Big Ant Studios,Action,1
Big Ant Studios,Adventure,1
Big Ant Studios,Racing,1
Con Artist Games,Action,3
Con Artist Games,Adventure,2
Con Artist Games,Indie,1
Con Artist Games,Simulation,1
Con Artist Games,Strategy,1
Defiant Development,Action,2
Defiant Development,Indie,2
Defiant Development,RPG,2
Electronic Arts,Action,3
Electronic Arts,Sports,2
Electronic Arts,Simulation,1
Electronic Arts,Strategy,1
Gameloft,Free To Play,7
Gameloft,Action,6
Gameloft,Adventure,5
Gameloft,Strategy,5
Gameloft,Casual,4
Gameloft,Simulation,4
Gameloft,Massively Multiplayer,3
Gameloft,RPG,3
Gameloft,Sports,3
Gameloft,Racing,2
Grease Monkey Games,Racing,2
Grease Monkey Games,Action,1
Grease Monkey Games,Early Access,1
Grease Monkey Games,Indie,1
Grease Monkey Games,Simulation,1
Grease Monkey Games,Sports,1
Greenheart Games,Indie,2
Greenheart Games,Simulation,2
Greenheart Games,Strategy,2
Greenheart Games,Casual,1
Greenheart Games,Early Access,1
Greenheart Games,RPG,1
House House,Action,2
House House,Indie,2
House House,Sports,1
League of Geeks,Indie,3
League of Geeks,Strategy,3
League of Geeks,Adventure,1
League of Geeks,Early Access,1
League of Geeks,RPG,1
Massive Monster,Action,3
Massive Monster,Adventure,3
Massive Monster,Indie,3
Massive Monster,RPG,1
Massive Monster,Strategy,1
MicroProse,Simulation,35
MicroProse,Strategy,21
MicroProse,Action,13
MicroProse,Adventure,13
MicroProse,RPG,5
MicroProse,Early Access,4
MicroProse,Casual,2
MicroProse,Indie,2
MicroProse,Sports,2
Playside Studios,Action,2
Playside Studios,Free To Play,1
Playside Studios,Strategy,1
SMG Studio,Casual,8
SMG Studio,Indie,7
SMG Studio,Action,5
SMG Studio,Simulation,2
SMG Studio,Strategy,2
SMG Studio,Adventure,1
SMG Studio,Free To Play,1
Sledgehammer Games,Action,16
Sledgehammer Games,Free To Play,1
Tantalus Media,Strategy,4
Tantalus Media,Free To Play,1
Team Bondi,Adventure,1
Team Bondi,Strategy,1
Team Cherry,Action,2
Team Cherry,Adventure,2
Team Cherry,Indie,2
Witch Beam,Indie,3
Witch Beam,Casual,2
Witch Beam,Action,1
Witch Beam,Simulation,1
ustwo,Casual,6
ustwo,Adventure,4
ustwo,Indie,4
ustwo,Strategy,4
ustwo,Action,1
ustwo,Sports,1
