release_year,genre,n_games
2007,Strategy,1
2008,Racing,1
2008,Strategy,4
2010,Action,2
2010,Simulation,2
2011,Action,2
2011,Adventure,1
2011,Simulation,1
2011,Strategy,1
2012,Indie,1
2012,Strategy,1
2013,Casual,1
2013,Indie,2
2013,Simulation,1
2013,Strategy,2
2014,Action,8
2014,Adventure,11
2014,Casual,2
2014,Indie,9
2014,RPG,4
2014,Racing,1
2014,Simulation,11
2014,Sports,1
2014,Strategy,2
2015,Action,8
2015,Adventure,13
2015,Casual,3
2015,Free To Play,2
2015,Indie,20
2015,Massively Multiplayer,1
2015,RPG,8
2015,Racing,1
2015,Simulation,7
2015,Sports,1
2015,Strategy,8
2016,Action,8
2016,Adventure,6
2016,Casual,4
2016,Indie,9
2016,RPG,2
2016,Simulation,4
2016,Sports,4
2016,Strategy,1
2017,Action,14
2017,Adventure,4
2017,Casual,7
2017,Free To Play,3
2017,Indie,14
2017,Massively Multiplayer,2
2017,RPG,2
2017,Racing,1
2017,Simulation,3
2017,Sports,4
2017,Strategy,4
2018,Action,10
2018,Adventure,13
2018,Casual,9
2018,Early Access,1
2018,Free To Play,2
2018,Indie,17
2018,Massively Multiplayer,1
2018,RPG,6
2018,Simulation,3
2018,Sports,4
2018,Strategy,1
2019,Action,9
2019,Adventure,7
2019,Casual,3
2019,Early Access,1
2019,Free To Play,1
2019,Indie,8
2019,RPG,1
2019,Simulation,4
2019,Sports,5
2019,Strategy,5
2020,Action,8
2020,Adventure,7
2020,Casual,9
2020,Early Access,2
2020,Free To Play,2
2020,Indie,11
2020,RPG,7
2020,Racing,3
2020,Simulation,6
2020,Sports,6
2020,Strategy,8
2021,Action,3
2021,Adventure,4
2021,Casual,2
2021,Indie,3
2021,RPG,1
2021,Racing,1
2021,Simulation,5
2021,Sports,3
2021,Strategy,4
2022,Action,14
2022,Adventure,11
2022,Casual,4
2022,Early Access,2
2022,Free To Play,3
2022,Indie,9
2022,Massively Multiplayer,1
2022,RPG,1
2022,Racing,2
2022,Simulation,16
2022,Sports,3
2022,Strategy,10
2023,Action,16
2023,Adventure,4
2023,Casual,6
2023,Early Access,2
2023,Free To Play,2
2023,Indie,5
2023,RPG,2
2023,Racing,1
2023,Simulation,6
2023,Sports,4
2023,Strategy,2
2024,Action,11
2024,Adventure,8
2024,Casual,7
2024,Early Access,4
2024,Free To Play,1
2024,Indie,12
2024,RPG,2
2024,Racing,2
2024,Simulation,12
2024,Sports,6
2024,Strategy,11
2025,Action,8
2025,Adventure,9
2025,Casual,11
2025,Early Access,1
2025,Free To Play,1
2025,Indie,14
2025,RPG,3
2025,Racing,1
2025,Simulation,5
2025,Sports,5
2025,Strategy,5
