genre,global_count,global_pct,au_count,au_pct,au_minus_global_pct
Indie,14212,71.06,134.0,46.21,-24.85
Action,7993,39.97,121.0,41.72,1.75
Adventure,7974,39.87,98.0,33.79,-6.08
Simulation,4193,20.96,86.0,29.66,8.7
Strategy,3950,19.75,70.0,24.14,4.39
Casual,8903,44.52,68.0,23.45,-21.07
Sports,858,4.29,46.0,15.86,11.57
RPG,3743,18.72,39.0,13.45,-5.27
Free To Play,2088,10.44,17.0,5.86,-4.58
Racing,717,3.58,14.0,4.83,1.25
Early Access,1943,9.72,13.0,4.48,-5.24
Massively Multiplayer,430,2.15,5.0,1.72,-0.43
Violent,79,0.4,1.0,0.34,-0.06
Gore,54,0.27,1.0,0.34,0.07
360 Video,1,0.0,0.0,0.0,0.0
Documentary,1,0.0,0.0,0.0,0.0
Design & Illustration,94,0.47,0.0,0.0,-0.47
Game Development,51,0.26,0.0,0.0,-0.26
Episodic,1,0.0,0.0,0.0,0.0
Education,71,0.36,0.0,0.0,-0.36
Accounting,6,0.03,0.0,0.0,-0.03
Animation & Modeling,76,0.38,0.0,0.0,-0.38
Audio Production,33,0.16,0.0,0.0,-0.16
Photo Editing,34,0.17,0.0,0.0,-0.17
Movie,1,0.0,0.0,0.0,0.0
Short,1,0.0,0.0,0.0,0.0
Sexual Content,18,0.09,0.0,0.0,-0.09
Nudity,27,0.14,0.0,0.0,-0.14
Software Training,28,0.14,0.0,0.0,-0.14
Tutorial,1,0.0,0.0,0.0,0.0
Utilities,176,0.88,0.0,0.0,-0.88
Video Production,64,0.32,0.0,0.0,-0.32
Web Publishing,22,0.11,0.0,0.0,-0.11
